,店名,类型,地址,评论数,人均,口味,环境,服务,特色菜,经度,纬度
27,行运打边炉(工体店),火锅,工人体育场北路15号VICS旁,381,278,9,8.7,8.5,金牌花胶鸡煲 炸响铃,116.4416534,39.93258108
28,宽板凳老灶火锅(广渠门双井店),火锅,广渠路家乐福东北角,719,113,8.2,8.2,8.3,孜然麻辣牛肉 手工鲜羊肉,116.4681769,39.89245237
29,伊豆野菜村(华润五彩城店),日本菜,清河中街华润五彩城五楼东区L559,465,156,9,9,9,牛肉 寿喜锅,116.3266008,40.02916434
30,111号打邊爐(中关村店),火锅,中关村东路111号,895,127,8.8,8.8,9,金汤花胶鸡煲 手打牛肉丸,116.3272356,39.97113663
31,大利锅记,火锅,望京河荫中路东5号,321,129,9.1,9,9.1,镇店牛尾锅 招牌肥肠鸡锅,116.4767022,39.99525597
32,鲸鱼悦·鱼掌门鱼火锅(上地店),火锅,农大南路海阔信广场2-5号,379,117,9.2,9.1,9.2,整条斑鱼活鱼鲜切 椰子冻,116.3002509,40.02527045
33,鲜牛记潮汕牛肉火锅(亚运村店),火锅,慧忠北路安慧北里雅园1号楼,2206,118,9,8.8,8.9,吊龙 生牛肉丸,116.4061776,39.9971147
34,汕头八合里海记牛肉店(清河店),火锅,G6国道辅路小营桥红绿灯向北300米岔路内西三旗派出所旁,4871,124,9.2,9,8.5,手打牛筋丸 吊龙,116.3352387,40.03771738
35,重八牛府(双榆树店),火锅,双榆树东里15号北京一零一中学西门西行30米,6876,91,9.1,8.5,9.2,重八独家秘制牛丸鸳鸯锅 重八特色小料,116.2978182,39.99962934
36,成都葫芦娃一家人火锅(双井店),火锅,广渠路66号甲3号楼二层,1018,148,9.1,9.2,8.8,美容木瓜番茄锅 水上漂嫩牛肉,116.4584586,39.8900947
37,漫火锅(北京市百货大楼店),火锅,王府井大街255号北京市百货大楼6楼,11846,129,9.1,9.1,9.2,杨枝甘露 海虾,116.4046337,39.91221527
38,今儿明儿涮肉,火锅,十里河桥西北角十里河文化园A座四层,87,90,9.3,9.4,9.3,手切鲜羊后腿肉 呼伦贝尔极品羔羊腿肉,116.4516515,39.86575971
39,今半锄烧日式火锅自助(花乡奥莱村店),自助餐,南四环西路76号花乡奥莱村7号楼3层,1153,118,8.9,9.2,9.1,寿喜锅 牛肉,116.3174762,39.82602547
40,九万士多港式海鲜粥底火锅,火锅,丰科路丰台科技园万达广场金街3层3-317号,163,181,9.4,9.2,9.5,螃蟹 蛏子王,116.6371075,39.90449027
41,尽膳口福跷脚牛肉(合生汇店),火锅,广渠路西大望路21号,430,168,9.1,9.2,9.1,九秒牛肉 红糖糍粑,116.4726281,39.89274514
42,伊豆野菜村(大族广场店),日本菜,荣华南路与荣京东街交叉口大族广场T3楼2层F2-27号,590,157,9,9.1,9.1,牛上脑 寿喜锅菌汤锅,116.5069885,39.79037362
43,菜麻(劲松店),火锅,劲松南路劲松八区8号楼808室,838,75,7.7,7.5,7.8,特色牛肉 鸳鸯锅,116.4421468,39.88049392
44,日坛涮肉,火锅,日坛东路9号,3635,141,9.1,9.1,8.3,日坛烧饼 手切鲜肉,116.440242,39.91331916
45,者火·善造,日本菜,青年路朝阳大悦城7层拾间主题区内,879,240,9.1,9.2,9.3,寿喜锅 杏仁豆花,116.5130868,39.92387755
46,8号苑(西单总店),火锅,太仆寺街71号,1004,100,8.9,9.1,8.7,牛油鸳鸯锅底 凉面,116.3705524,39.91109318
47,斗川火锅(知春路店),火锅,北土城西路171号,1220,106,9.1,9,9.1,小酥肉 鲜鸭血,116.3558454,39.97549461
48,宣武小院涮肉,火锅,南菜园街53号,1183,88,9.1,8.2,8.5,招牌麻酱糖饼 精选手切鲜羊后腿,116.3476342,39.87069175
49,海塘海鲜自助餐厅,自助餐,王家园胡同16号1层,3500,209,8.8,8.6,9,阿根廷大虾 鲍鱼,116.4324426,39.92939463
50,木辛水水冰煮羊(长楹天街店),火锅,龙湖·长楹天街购物中心西区南侧商业街西区2层D222室,605,117,9.2,8.9,9.2,苏尼特羊肉 拉克申酱料,116.5937906,39.92403494
51,紫龍火锅(富力广场店),火锅,东三环中路65号富力广场10层,932,112,9,9.1,9,紫龙招牌老肉片 果冻鲜鸭血,116.4543878,39.89458515
52,葫芦娃牛板筋火锅(鼓楼店),火锅,大石桥胡同37号,1051,69,9,8.2,9,牛板筋火锅 小料,116.3834927,39.94535217
53,温野菜日本涮涮锅(朝阳大悦城店),日本菜,朝阳北路101号朝阳大悦城6F-06,1743,160,8.7,9,8.9,牛肉 寿喜烧,116.5124414,39.92319738
54,小红袍香港私房火锅料理(三里屯店),火锅,三里屯中国红街1号楼3层北侧,1449,366,9.1,8.7,9,金屋藏娇 蟹籽芝士墨鱼丸,116.4445159,39.93171571
55,伊豆野菜村(顺义店),日本菜,安泰大街6号院祥云小镇南区6号楼底商,3451,150,9,9.1,9,寿喜烧锅底 澳洲和牛上脑,116.5306754,40.08643647
56,蝎王府羊蝎子(虎坊桥店),火锅,虎坊路甲4号,7075,91,9.1,8.5,8,羊蝎子特大锅(麻辣) 羊蝎子特大锅(浓香),116.3788399,39.88717742
57,红辣椒(朝外店),火锅,朝外外交部南街联合大厦5层,1076,117,9.2,9.3,9.4,十八香小龙虾 鸳鸯锅底,116.4324126,39.92135866
58,桃山旬野菜村日式火锅(富力广场店),日本菜,东三环双井富力广场三层南侧,237,153,9,9,9.1,和牛上脑 寿喜烧,116.4543878,39.89458515
59,伊尹海鲜自助火锅(万丰路店),自助餐,万丰路526号伊尹海参馆首层,2109,285,9,9.1,9.1,澳洲甜虾 芝士焗龙虾,116.2893591,39.87090769
60,五味缘钢管厂小郡肝串串香,火锅,东三环南路52号顺迈金钻商服22,764,83,9.1,9,9.1,麻辣牛肉 郡片,116.456194,39.8864905
61,鸦儿李记(和平里店),火锅,和平里西街67号,1766,90,9,8.6,8.5,手切鲜羊肉 芝麻烧饼,116.411837,39.95694123
62,一岚一山(角门总店),火锅,角门东里88号,2332,71,9.1,8.3,8.7,金牌鸡翅 冷锅串串,116.3722768,39.84654184
63,左庭右院鲜牛肉火锅(北京朝阳大悦城店),火锅,朝阳北路101号朝阳大悦城7层,2601,132,9,9.1,8.9,吊龙 牛肉丸,116.5130868,39.92387755
64,米亭味自慢料理(盈科中心店),日本菜,盈科中心工人体育场北路甲2号裙房一层106A单元,763,341,9.2,9.3,9.3,天妇罗虾拼盘 三文鱼大腹刺身,116.4532711,39.93162724
65,成都蜀大侠火锅(大望路店),火锅,朝阳西大望路友金大厦东100米,2094,136,9,9,8.8,巴蜀麻辣牛肉 冰川鹅肠,116.4727016,39.88351895
66,烹然四季椰子鸡火锅(高和萃东三环北路店),火锅,东三环北路甲26号高和萃2层,6579,149,8.9,8.9,8.5,竹荪椰子鸡 原味椰子冻,116.4561054,39.92717184
67,313羊庄·铜锅烀羊肉(王府井店),火锅,东华金街购物中心4层,2892,133,8.9,8.9,9,自制酸奶 果木碳烤羊肉大串,116.4048182,39.9090615
68,三味缘牛蛙火锅(马连道店),火锅,马连道南街2号院8号楼二层002,849,99,9.2,9.1,9.2,牛蛙 葱花饼,116.3230079,39.88306341
69,渝最火锅,火锅,学清路16号学知轩一层106,212,103,7.9,8.6,8.7,鲜鸭血 小酥肉,116.3468715,40.01062164
70,签王之王·王牌串串,火锅,崇文门外大街40号搜秀城2层,262,85,8.9,9,9,小郡肝 香菜牛肉,116.4131338,39.89521236
71,喜牛屋和牛寿喜烧(东直门店),日本菜,东直门内大街10号楼10-9室,381,150,9,9.1,9.2,霜降和牛寿喜烧 明太籽盐焗土豆,116.4225487,39.93924061
72,丁卯涮肉(朝阳门店),火锅,朝阳门佳汇国际中心A座底商,404,135,9.1,9.1,9,丁卯京八件儿 麻酱糖饼,116.434809,39.92602978
73,313羊庄·铁锅烀羊肉(回龙观店),火锅,科星西路33号楼2层,590,103,9.2,9,9.1,羊排 羊腿肉,116.3501037,40.07556582
74,郭立杨家火锅(健德门店),火锅,北土城西路103号6号平房,91,103,8.5,9,8.8,杨家招牌毛肚 特制鸭血,116.3743969,39.97565007
75,高兴火锅(五道口店),火锅,成府路35号五道口东源大厦6层,85,87,9.1,9.1,9.1,高兴布袋 鲜虾滑,116.3304625,39.99204066
76,就这儿吃浓香牛肉火锅(银河大街店),火锅,鲁谷路与银河大街交汇十字路口东北角银河财智中心A座B1层139号,397,86,9.1,8.8,9.2,咖喱牛肉火锅 招牌牛肉锅,116.2158093,39.90380664
77,辣蜀宽巷,火锅,望京街与宏昌路交口望京西园4区402号楼2层商铺,440,67,9,8.8,9.1,冷锅串串香 金牌鸡翅,116.4659455,39.99775169
78,乾和元涮肉(亚运村店),火锅,亚运村安慧里一区14号楼底商4号,481,111,9.1,9.1,9.1,冰山牛舌 手切元宝肉,116.4091263,39.99074147
79,小龍行江湖老火锅,火锅,工人体育场北路三里屯SOHO2号商场西门2层2217,405,126,9,9.1,9,鸳鸯锅底 屠场鲜毛肚,116.4381647,39.9335945
80,鱼豆吉(望京店),火锅,望京街9号望京新城B区望京国际商业中心F座1层B111,400,94,9.1,8.8,9.1,豆浆锅底 清江鲢鱼,116.4764547,39.98835271
81,额尔敦传统涮(北影店),火锅,杏坛路40号3楼,477,99,9,9.1,8.9,额尔敦老料 大刀肋腹肉,116.3549983,39.96467641
82,北门涮肉(什刹海店),火锅,地安门帽儿胡同乙43号,5123,98,9,8.6,8.9,手切鲜羊肉 雪花肥牛,116.3923241,39.93511326
83,桃山旬野菜村日式火锅(凯德MALL店),日本菜,西直门外大街1号凯德MALL4层,934,158,8.6,9,8.6,寿喜锅 雪花霜降牛肉,116.346376,39.94028921
84,HI辣火锅(五棵松店),火锅,复兴路69号院2号058、059、060室,1981,125,8,7.9,7.8,手打芝士牛肉丸 招牌hi辣鱼,116.2716567,39.90793981
85,一串亦签,火锅,天华东路林肯公园C区东门财富茅台门前下沉广场B1层,324,66,9.2,9.1,9.1,串串 特色鸡翅,116.4875055,39.80458712
86,小龙坎老火锅(石景山店),火锅,石景山路21号,1702,138,9,9.1,8.8,红糖糍粑 麻辣牛肉,116.2915246,39.7977787
87,吃闹热串串火锅,火锅,工体北路新中西里26号,2640,99,9,9.1,9,冰粉 串串,116.4324002,39.9326181
88,马路边边串串香(角门店),火锅,马家堡东路7克拉底商,291,96,9,8.7,8.7,路边嫩牛肉 冒脑花,116.378703,39.83846972
89,有范儿串串香火锅(亚运村店),火锅,朝阳区慧忠北路,672,82,8.8,8.4,8.7,私房嫩牛肉 麻辣牛肉,116.4006058,39.9973322
90,湊湊火锅·茶憩(方庄时代店),火锅,方庄芳星园二区6号楼方庄时代广场4F,1084,143,8.9,9.3,9.2,大红袍珍珠奶茶 台式麻辣锅,116.4292043,39.86412156
91,优食堂·今晚吃鸡,创意菜,驼房营南路东风艺术区19号临街,325,107,9.1,9.3,9.1,重庆姑爷鸡 鲜牛肉,116.5030978,39.95534997
92,木辛水水冰煮羊(通州万达店),火锅,通惠南路万达金街B区2楼B3-219号,252,100,9.2,9.1,9.1,特色苏尼特羊羔肉 冰煮羊,116.6362868,39.9038511
93,一撇一辣串串香(长阳万科半岛店),火锅,广阳新路7号院3号楼2层3-217,143,58,9.2,9,9.3,金牌鸡翅 霸道小土豆,116.207056,39.75226142
94,太婆天府山珍酒楼(复兴门店),火锅,二七剧场路南口甲19号楼1楼,2163,108,9.1,7.8,8.1,乌鸡锅底 竹荪,116.3398811,39.90695715
95,M小买,日本菜,工体北路8号院三里屯SOHO2号商场B1层B1-237,2028,145,8.6,8.7,8.6,烤三文鱼蛋黄酱鱼籽饭 鳗鱼饭,116.4473515,39.9314176
96,竹叶涮肉坊,火锅,长青路88号院62栋,121,89,9.2,9,8.1,羊肉串 手切羊肉,116.1583568,39.80147795
97,佐冷馋·串串里(大望路店),火锅,南磨房路甲5号新华创意产业园,1277,106,9,9.1,9,串串 手工红糖糍粑,116.4692528,39.88376966
98,红中|宇宙中心的串串(五道口店),火锅,成府路35号东源大厦2层,2225,82,8.7,8.9,8.9,串串香 红糖冰粉,116.3304625,39.99204066
99,椰思·椰子鸡火锅,火锅,马连洼北路8号C座一层107,346,117,7.9,8.4,7.9,椰子鸡汤 原味椰子冻,116.287672,40.03324281
100,豆捞坊·胶原花胶火锅(来福士店),火锅,东直门南大街1号北京来福士4层,7871,124,8.8,9.1,8.4,美味鲜虾滑 菌王锅底,116.4260093,39.93874233
101,成都葫芦娃一家人火锅(好运街店),火锅,朝阳公园路好运街1号商铺C7单元28号,1837,147,9,9,8.8,美容木瓜番茄锅 九尺鸭肠,116.4651381,39.95028975
102,重庆地瓜老火锅(洋桥店),火锅,马家堡东路88号奇迹广场,617,117,9.2,9.4,9.4,地瓜老肉片 自助小料,116.3819041,39.84851245
103,北门涮肉(美术馆店),火锅,美术馆后街60号,1353,95,9.1,8.9,9,手切鲜羊肉 麻酱小料,116.4031882,39.92675723
104,辣府(五道口店),火锅,中关村东路东升大厦AB座3层SA-V-3单元,2602,136,8.6,8.7,8.3,雪花肥牛 鲜虾滑,116.3275911,39.99351439
105,香闺串香坞(宣武门店),火锅,头发胡同20号,803,110,9.1,9.2,9.1,香菜牛肉 牛油锅底,116.3673531,39.901214
106,羊火涮肉,火锅,黄寺大街15号佰隆大厦三楼,1434,119,9.1,9,8.6,手切鲜羊肉 鲜羊上脑,116.3827445,39.96193013
107,汕头八合里海记牛肉店(玲珑路店),火锅,八里庄玲珑路恩济西园10号楼东1门,2378,126,9.1,9,8.2,手打牛筋丸 潮汕炸腐皮,116.2765936,39.93103079
108,牛麒荟潮汕牛肉火锅,火锅,北苑红军营南路来广营政府对面,544,102,9.2,9.1,9.1,吊龙 手锤鲜牛肉丸,116.4150327,40.02689675
109,澐記香港火锅料理(簋街店),火锅,东直门内大街5-10号东直门地铁A口西行300米,626,177,8.8,9.1,9,招牌椰子鸡 招牌胡椒猪肚鸡,116.4233148,39.93988059
110,巴蜀签火锅串串(方庄不夜店),火锅,芳古路芳群园二区16号,198,92,9.2,9.1,9.2,鸳鸯锅底 麻辣小牛肉,116.4245264,39.86174636
111,束河人家(南锣鼓巷店),火锅,北兵马司胡同17号,3298,157,8.8,9.1,8.7,香牛肉 包浆豆腐,116.3985816,39.93505339
112,菁喜老火锅(三里屯店),火锅,工体东路中国红街甲2-5号,482,124,9,9,9,炸酥肉 鲜鸭血,116.4447246,39.93124415
113,辣壹火锅(望京店),火锅,望京小街9号,67,98,9.4,9.3,9.3,毛肚 辣壹招牌锅底,116.4775148,39.9891418
114,香闺串香坞(西单四合院店),火锅,西单横二条大秤钩胡同13号,2278,111,8.8,9,8.6,鸳鸯锅底 腌制牛肉,116.3703702,39.90842279
115,313羊庄·铁锅烀羊肉(上地店),火锅,农大南路海阔商业广场,152,106,9,8.8,8.5,羊腿肉 自制果茶,116.2895107,40.02295966
116,康二姐串串香(三里屯总店),火锅,三里屯南甲34号院内,3193,79,8.7,8.4,8.2,脑花 串串,116.4462955,39.93467021
117,鲸一食堂(麒麟新天地店),日本菜,阜通西大街11号合生·麒麟新天地1层AF109,1399,99,8.3,8.5,8.4,招牌鸡碎饭 主打寿司,116.4717321,39.99581813
118,斗川火锅(石景山鲁谷店),火锅,鲁谷路136号紫御长安一层底商,127,113,9.1,9.2,9.1,斗川小酥肉 麻辣牛肉,116.2061427,39.90192112
119,来涮蜀串串香火锅(复兴门店),火锅,真武庙三条26号,1543,100,9,8.7,8.9,麻辣鸳鸯锅 麻辣牛肉,116.3436289,39.9028153
120,食潮汕头鲜牛馆,火锅,阜通西大街宝星华庭南门底商1楼101,507,99,9.2,9,9.1,手打鲜牛丸 吊龙,116.4737868,39.99752461
121,温鼎府(潮汕牛肉火锅),火锅,前门东大街前门23号院内,584,527,9.2,9.4,9.3,牛丸双拼 雪花匙仁,116.3974783,39.89920591
122,三味缘牛蛙火锅(三里河店),火锅,三里河东路11号,4042,92,9,8.7,9,牛蛙 干锅牛蛙,116.3380654,39.90833312
123,旮旯儿小串,烧烤,马家堡东路71号,75,57,8.2,9.1,8.8,烤鱿鱼 疙瘩汤,116.3801096,39.85031933
124,最牛喜事潮汕鲜牛肉火锅(和平里店),火锅,和平里东街13区4号楼西侧底商,1875,100,9.1,9,8.9,手打鲜牛肉丸 秘制沙茶酱,116.418946,39.95871429
125,小木船潮汕牛肉火锅(小屯路店),火锅,小屯路兆丰馨园东区,1282,112,9.1,9.2,9.2,吊龙 手锤牛肉丸锅底,116.2451032,39.89135788
126,芦月轩羊蝎子(管庄店),火锅,管庄东里中国建材研究总院院内,2623,83,9.1,8.8,8.7,普通羊蝎子 炸腐竹,116.5911996,39.91822921
127,三只耳河鲜馆(保利店),火锅,工体北路新中西里26号,8102,118,8.6,8.5,8.3,招牌冷锅鱼麻辣锅底 鲜鸭血,116.4324002,39.9326181
128,清真·又一斋老北京涮羊肉羊蝎子(鲁谷路店),火锅,鲁谷路与银河大街交叉口东北角银河财智中心A座B1层151-152号,123,81,8.4,7.6,8.3,精选羊肉 烤烧饼,116.2158093,39.90380664
129,北门涮肉(南锣鼓巷店),火锅,地安门东大街56-1号,4730,98,9,8.3,8.9,手切鲜羊肉 麻酱小料,116.3994437,39.93184348
130,小木船河鲜馆(上地店),火锅,马连洼北路竹园中街30号一层102,282,162,9.1,9.2,9.1,特色牛肉包 金沙江黄沙鱼,116.2758848,40.03124667
131,湊湊火锅·茶憩(龙德广场店),火锅,立汤路186号龙德广场F520,1175,150,8.9,9.3,9.1,热冬瓜大红袍 番茄牛膝骨锅底,116.40925,40.05905415
132,喵小姐串串香(望京店),火锅,阜通东大街花家地小区30号,986,69,8.7,8.6,8.5,串串香 解辣冰粉,116.4618879,39.97891356
133,谭记潮汕牛肉火锅(西直门店),火锅,交大东路66号院2号楼1层125-126号,180,78,8.8,8.7,9.1,双拼牛肉丸 嫩肉,116.3447909,39.94301286
134,功夫潮牛潮汕牛肉火锅,火锅,信息路19号,847,115,9.1,8.9,9,手打牛肉丸 雪花肉,116.305639,40.02915638
135,巷子深·銅瓷涮肉,火锅,东三环南路劲松东口华泰饭店一层,941,103,9,9,9,手切鲜羊肉 麻酱,116.4530017,39.87895689
136,熬八年台湾火锅,火锅,三里屯路三里屯11号院3号楼一层N3-17及二层N3-28单元,521,163,8.3,9.1,8.9,福袋 鴨血,116.4490941,39.93723697
137,今捞猪肚鸡椰子鸡锅物料理,火锅,好运街1-21号,5183,128,9,8.3,8.7,胡椒猪肚鸡 煲仔饭,116.4653399,39.94958126
138,蜀大侠火锅(朝阳门店),火锅,朝阳门外大街19号华普大厦二楼,338,128,8.6,9.1,8.7,贵妃牛肉 菌汤牛油鸳鸯锅,116.4330035,39.92335978
139,马路边边串串香(苏州街北京总店),火锅,苏州街29号,1251,97,8.6,8.1,8.1,路边嫩牛肉 经典锅底,116.2967927,39.97893047
140,铜景大院老北京铜锅涮肉,火锅,东三环南路3号4层,588,104,8.8,9,9,手切羊后腿 麻酱小料,116.4547634,39.89128858
141,桐记小灶儿牛板筋火锅(悠唐购物中心店),火锅,朝外南街三丰北里2号楼悠唐购物中心4层001号,2687,108,9,9,8.9,泡菜牛板筋火锅 香酥泡饼,116.4332323,39.92036032
142,日坛涮肉(金融街店),火锅,金城坊街5号,632,154,8.8,9.1,8.5,鲜切羊肉 麻酱小料,116.3569557,39.91534093
143,丽江庭院之爱在路上(西单店),火锅,大酱坊胡同7号,8530,159,8.5,9.1,8.8,斑鱼片 芝士丸,116.3687759,39.91740708
144,耙耙牛·不一样的重庆火锅,火锅,朝阳区常通路1号楼龙湖长楹天街购物中心后商业街西区一层D108,57,88,9.1,9.1,9.1,牛肉 牛筋,116.5898236,39.92404026
145,沈氏串串香??铜炉蛙锅(世纪金源店),火锅,金源时代商务中心二期1F底商,193,69,8.9,8.6,8.7,秘制麻辣牛肉 香菜牛肉,116.2831765,39.959888
146,米亭味自慢料理(乐成店),日本菜,东三环中路20号乐成中心Space3-8三层,169,268,9.2,9.4,9.3,串烤牛舌 大明虾天妇罗,116.4563782,39.89356258
147,友乐园涮肉坊(西直门店),火锅,北礼士路101-3号,765,96,8.7,7.6,7.8,鲜羊肉 酸梅汤,116.3469276,39.93351058
148,和合四季椰子鸡火锅(五棵松店),火锅,玉渊潭南路凯迪拉克中心北门对面瑞丰园美食新天地二楼,5225,127,8.6,8.9,9,椰子鸡锅 珍珠马蹄,116.2752789,39.90911806
149,渝幺婶串串香·段友根据地(五道口店),火锅,东王庄甲1号,1559,82,9,8.8,8.7,冷锅串 杠上脑花,116.4007581,39.90319598
150,温野菜日本涮涮锅专门店,日本菜,远大路1号世纪金源购物中心五层E段5410,1395,163,8.5,8.8,8.7,澳洲牛肩肉 寿喜烧,116.2820692,39.95758349
151,牛村来人潮汕鲜牛肉火锅(西单店),火锅,宣武门内大街1号西单十字路口南行100米路西,4075,123,9,8.7,8,手打生牛肉丸 吊龙,116.3665862,39.90936459
152,悦膳重庆火锅,火锅,管庄路150号院未来城A座A111Y,41,69,8.8,8.9,8.6,嫩滑牛肉 辣牛肉,116.5812798,39.94394594
153,王家渡火锅(金宝汇店),火锅,"金宝街88号金宝汇购物中心一期6层603室,605室,606室",1536,165,9,9.2,9.1,番茄锅底 自制虾滑,116.4152754,39.91379071
154,胖哥俩肉蟹煲(五道口店),火锅,成府路29号A-3-1号商铺,3367,79,8.8,8.6,8.2,招牌肉蟹煲 鸡爪煲,116.3323612,39.99180537
155,葱葱那年串串香火锅(望京总店),火锅,阜通东大街金兴路6号,335,78,8.7,9.1,9.1,鸳鸯锅 麻辣嫩牛肉,116.4693514,39.98557992
156,京涮铜锅涮肉(华贸店),火锅,西大望路与朝阳路交叉口向南200路西,606,102,9.1,9.1,9.1,京涮芝麻烧饼 锡盟羔羊肉,116.4718493,39.91306921
157,鼎鼎香(北京SKP店),火锅,建国路87号北京SKPD区6层,1606,260,8.2,8.8,7.8,麻酱小烧饼 肉骨茶汤底,116.4722062,39.90782307
158,WALA  蛙辣火锅,火锅,工人体育场西路6号,1760,198,8.3,9.1,8.1,麻辣牛蛙 虾滑,116.4381522,39.92789255
159,串局儿·串串香火锅,火锅,青年路姚家园113号,357,102,8.3,9.1,8.9,八秒牛排 串串,116.5115473,39.9261539
160,京涮铜锅涮肉(马连道店),火锅,马连道南街2号院8号楼A座2层,787,98,9,9.1,9,苏尼特羔羊肉 芝麻烧饼,116.3230079,39.88306341
161,王缸钵重庆老灶火锅(霄云路旗舰店),火锅,东三环霄云路15号,605,151,9,9,8.8,麻辣牛肉 酥肉,116.4603955,39.95943083
162,老门框爆肚涮肉(五棵松清真蓝港店),火锅,玉渊潭南路中铁股份有限公司西边C座2层207,289,98,9,9.1,8.9,鲜牛百叶 现炸辣椒油,116.3016307,39.91172547
163,来涮蜀串串香火锅(西单店),火锅,西绒线胡同17号,1226,102,9,8.9,9,麻辣鸳鸯锅 麻辣牛肉,116.3754166,39.90302777
164,小红门港式海鲜火锅(永安里店),火锅,永安东里甲3号,494,312,9.3,9.1,9.2,花胶海味浓鸡汤 招牌雪花牛肉,116.4437119,39.90428627
165,高兴壹锅潮汕鲜牛肉火锅(霄云路店),火锅,霄云路35号,383,103,9.2,8.9,9.1,吊龙 手锤牛丸锅,116.4556092,39.9555981
166,小珺柑串串香(食宝街店),火锅,善缘街中关村大街15号食宝街二期二层,120,78,9.1,9.1,8.6,香油蒜泥 麻辣牛肉,116.3085124,39.97950787
167,黄门老灶火锅(方庄店),火锅,群星路芳群园四区6号楼,513,111,9,9,8.7,黄门嫩牛肉 绿色毛肚,116.4220428,39.85967819
168,冯三怪烤羊蝎子,烧烤,河荫中路3号,422,102,9.1,9,8.9,烤羊蝎子 蹄款鸡,116.4651944,40.00415556
169,太婆天府山珍酒楼(亚运村店),火锅,慧忠北路231号,1030,119,9.1,8.5,8.4,乌鸡 竹荪,116.4074178,39.99745299
170,有范儿串串香火锅(枣园店),火锅,枣园路22号,21,67,8,8,8,鸡肉串 麻辣牛肉,116.3211853,39.75413483
171,大成盛天楼,火锅,东大桥路世贸天阶北街4层,26,117,8,8.1,8.3,鲜羊肉 上脑肥牛,116.4460659,39.91570744
172,斗川火锅(三元桥店),火锅,新源街18号,767,120,8.2,8.4,8.8,现炸酥肉 麻辣牛肉,116.4483782,39.9503782
173,鸳鸯渡·正宗重庆火锅(健德门店),火锅,牡丹园北土城西路105号,622,116,8.8,8.6,8.9,现炸酥肉 大刀鲜毛肚,116.3735719,39.97575431
174,斗川火锅(四道口店),火锅,学院南路33号院,397,109,8.7,9.1,8.9,小酥肉 鲜鸭血,116.3380624,39.95949578
175,渝家小厨重庆老灶火锅,火锅,远安路望京东园七区8-8,489,91,8.2,8.3,8.5,精品嫩牛肉 油炸酥肉,116.4840697,39.99707528
176,阳坊胜利涮羊肉(昌平店),火锅,燕平路东关商贸楼6号,67,87,7.7,7.6,7.8,手工现切羊腿肉 局气牛羊双拼,116.2383283,40.21349342
177,谷雨(望馨商业中心店),火锅,望京望馨商业中心2层211室,459,85,8.4,8.3,8.6,谷雨牛蛙锅 五香豆腐丝,116.456057,40.00762099
178,来涮蜀串串香老灶火锅(菜市口店),火锅,西草厂街椿树园小区16号楼底商,671,104,9.1,9.1,9,串串 麻辣鸳鸯锅,116.371628,39.89157916
179,南城小刘涮肉,火锅,阡儿胡同和大川二巷交叉口把口,1691,98,9.1,7.2,7.7,手工切鲜肉 铜锅涮肉,116.3817732,39.8862436
180,名鼎阁自助火锅烤肉(望京店),自助餐,南湖中园211号楼2-3层211-3内,3226,92,8.5,8.5,8.6,纯羊肉串 秘制牛肉,116.4561267,39.99939044
181,乐游串串香火锅,火锅,东三环南路13号,1015,88,9,8.9,9,重庆嫩牛肉 鸳鸯锅底,116.4545514,39.87833981
182,来涮蜀串串香火锅(宣武门店),火锅,宣武门西大街乙6号,1654,103,9.1,8.6,8.9,麻辣鸳鸯锅 鲜鸭血,116.3625921,39.89735505
183,小龙坎老火锅(工体店),火锅,工体东路乙2号,2241,149,8.7,8.8,8.5,精品千层毛肚 红糖糍粑,116.4541256,39.93223307
184,辣壹火锅(木樨园店),火锅,南三环中路珠江骏景北区底商2号楼101号,32,116,9.2,9.2,9.2,毛肚 一米羊肉,116.3904519,39.85414662
185,七八冷面(远大路店),韩国料理,远大西路远大园二区甲1号楼102,4019,72,8.8,8.8,8.6,正宗朝鲜现压冷面 七八烤串,116.275326,39.95437228
186,三屿亭·寿喜烧(朝外店),日本菜,朝阳门外大街19号华普大厦东端福满格美食广场入口三层,83,150,8.9,9.2,9.1,雪花牛肉 经典刺身拼盘,116.4330035,39.92335978
187,京虎门爆肚涮肉(宋家庄店),火锅,宋家庄地铁站C出口向东600米京虎门,1260,105,9.1,9.1,8.7,羊肉 麻酱,116.421742,39.84159124
188,黄门老灶火锅(双井旗舰店),火锅,百子湾路37号,5528,136,9,8.5,8.6,鲜鸭血 黄门嫩牛肉,116.4568678,39.89958046
189,粤盛祥古法打边炉,火锅,曙光西路UHN国际村南门,1387,116,8.9,8.4,8.8,烤乳鸽 雪花,116.443858,39.96658532
190,葱葱那年自助串串香火锅(霄云路店),火锅,霄云路15-3号,2232,77,8.7,8.9,8.8,串串香 鸳鸯锅底,116.4610518,39.95997372
191,北华涮肉小院(西苑店),火锅,二龙闸路西苑桥桥西100米,458,87,8.9,8.7,8.6,手切鲜羊肉 麻酱,116.2798088,39.9953457
192,小西街八十号(日坛店),火锅,神路街39号日坛上街1-27号,2259,141,9,9.1,9,鲜毛肚 鲜鸭血,116.4378588,39.91800157
193,串串龍江二娃串串香(长阳店),火锅,京良路首开熙悦汇商场一层,3,141,7.3,7.3,7.3,藤椒牛肉 麻辣牛肉,116.2050812,39.76120947
