,店名,类型,地址,评论数,人均,口味,环境,服务,特色菜,经度,纬度
636,奕品风尚干锅辣鸭头,火锅,学院路5号768创意园1楼,1905,76,9.1,8,8.3,鸭头中锅 青笋,116.3457286,40.00719559
637,天后火锅(慈云寺店),火锅,八里庄1号莱锦文化创意产业园CN18号楼一层,358,139,8.6,9.2,9.2,苏尼特手切鲜羊肉 妈妈小酥肉,116.4920931,39.91246393
638,川西坝子红码头(聚齐儿店),火锅,马家堡东路106号院月桂树酒店二层聚齐儿餐厅c区,168,132,9.1,9.1,9.1,清油鸳鸯锅 牛黄喉,116.3809348,39.8412722
639,郭立杨家火锅(爱琴海店),火锅,北三环东路爱琴海5层,287,115,8.3,9.1,8.3,鲜毛肚 麻辣鲜牛肉,116.4301389,39.97057431
640,好合兴潮汕牛肉火锅(铭泽生活广场店),火锅,周庄村52号铭泽生活广场2层,429,111,8.8,8.9,8.9,吊龙肉 手锤牛筋丸,116.470777,39.86195788
641,福华肥牛城(古城路店),火锅,古城路甲4号,1140,77,8.8,8.5,8.1,肥牛 金牌烧饼,116.1827563,39.91357153
642,蛙蛙叫干锅年代(五道口店),川菜,成府路29号五道口国际食尚苑A区3层,911,84,8.2,7.9,8.1,干锅牛蛙 干锅千叶豆腐,116.3323442,39.99205939
643,老北京前后涮羊肉(和平里店),火锅,和平里北街兴化路九区1栋,1309,88,8.6,8.5,8.8,鲜羊肉 麻酱,116.4076836,39.9593746
644,牛签门串串香,火锅,学清路圣熙八号购物中心5层,306,75,8.9,9,8.9,牛肉卷香菜 牛油锅底,116.3489827,40.00751598
645,猛虎下山(雍和宫店),火锅,青龙胡同10号10-12,382,57,8.2,8.4,8,骨汤麻辣烫 猪蹄火锅,116.4167254,39.94650768
646,阿丽斑鱼庄(千禧店),火锅,靛厂商业街4号楼1层西区B2-B3,183,92,8.4,8.5,8.7,丽江斑鱼 斑鱼嫩豆花,116.2823774,39.88859802
647,嘎嘎辣串串香,火锅,东四南大街报房胡同东口12号,365,71,9,8.3,9.1,串串 肥牛片,116.4077501,39.9205259
648,玖斤油鹅肠火锅,火锅,顺白路何各庄村129号百年实验学校对面,492,152,8.8,9.2,8.4,嫩牛肉 鸳鸯锅底,116.4903526,40.04101313
649,芦月轩羊蝎子(西客站店),火锅,国投财富广场10号楼201,122,89,9.1,9,8.5,精品羊蝎子组合锅 小芦炸腐竹,116.3172213,39.88943256
650,呷哺呷哺(劲松萨克赛斯店),火锅,北京朝阳区劲松中街华威北里16号,44,59,8.7,8.8,8.4,呷哺秘制调料 菌汤锅底,116.4504664,39.87988238
651,牛鲜苼牛肚串串香(顺义艾迪城店),火锅,安泰大街艾迪城8号楼底商1层8-5-6铺,87,83,8.8,8.9,8.8,牛肉系列 鸳鸯锅底,116.5367767,40.08705675
652,玉林串串香(崇文门店),火锅,崇文门外大街40号搜秀购物广场4层,2188,90,8.5,8,8.2,麻辣牛肉 麻辣鸡肉串,116.4130174,39.8951519
653,穆益轩羊蝎子(平安里店),火锅,赵登禹路与平安里西大街交叉口,464,95,8.7,8.2,7.7,羊蝎子大锅 特色烧饼,116.3615909,39.93095947
654,小辉哥火锅(富力广场店),火锅,东三环中路65号富力广场北区3层305-308号,2739,129,8.5,9,8.4,特色雪花牛肉 炸腐皮（1例）,116.4543878,39.89458515
655,沸炉鲜货火锅·小龙虾(和平里店),火锅,兴化路甲2号和平里第三小学东门对面,1329,107,8.9,8.8,8.7,金牌毛肚 小酥肉,116.4081852,39.96107774
656,陈记顺和潮汕牛肉火锅(海淀魏公村店),火锅,中关村南大街11号光大国信大厦二层,1814,101,8.3,8.1,7.4,手锤牛肉丸 吊龙,116.3166961,39.95437863
657,赵小柒串串香(黄寺店),火锅,黄寺大街21号,500,87,8.9,8.3,8.8,香菜牛肉 嫩牛肉,116.3815321,39.96290634
658,玉林串串香(诺德店),火锅,五圈路诺德三期15号楼底商2层,207,78,8.7,8.9,8.7,辣牛肉 招牌鸳鸯锅底,116.3026791,39.82476878
659,常赢三兄弟涮肉(望京店),火锅,望京西路南湖中园312号首开知语城西侧底商,729,106,8.5,8.1,7.9,麻酱 手切鲜羊腱,116.4524296,39.99261225
660,德国啤酒坊·北门烤肉(崇文门店),烧烤,崇文门西大街9-1号,91,115,7.7,7.8,8,德国慕尼黑啤酒 雪花上脑,116.4065796,39.89994528
661,觅串(爱琴海店),火锅,北三环东路爱琴海购物中心4层,716,104,8.1,8.5,8,鸳鸯锅底 双椒牛肉串,116.4297831,39.97004324
662,馋小明,火锅,昌平镇鼓楼西街16-5,820,65,9,9,9,秘制鱼锅 小明酸菜鱼,116.2219533,40.22269117
663,零点柒贰串串香,火锅,建国路20号梆子井学生公寓二栋,65,53,8.9,8.4,9.1,鸳鸯锅底 麻辣牛肉,116.5509437,39.90634824
664,宽板凳老灶火锅(理想城店),火锅,理想城宏业路2号院1号楼1层6-7号商铺,523,99,9,9,8.5,极品鲜鸭血 麻辣孜然牛肉,116.3356081,39.78331651
665,蜗牛串串,火锅,天华东路林肯公园B区16号楼105号2层,292,77,8.6,8.7,8.9,牛肉 牛油小熊,116.4891767,39.80349364
666,老码头火锅(鸟巢店),火锅,大屯北路金泉广场金泉美食宫6号电梯2层,2289,109,8.4,8.5,8.4,牛油鸳鸯锅 精品肥牛卷,116.4058283,40.0046329
667,蜀一数串串香(常营总店),火锅,朝阳北路住欣家园1号楼1层103,29,66,8.9,8.6,8.5,串串签 骨汤鸳鸯锅,116.6065919,39.92135179
668,新辣道鱼火锅(花乡奥莱村店),火锅,南四环西路76号花乡奥莱村17号3层,392,102,8.8,9,9,番茄锅底 红汤梭边鱼锅,116.3174762,39.82602547
669,滇釜火锅·原香草香草(车公庄店),火锅,首体南路9号主语国际7号楼2楼,4438,119,8.7,8.3,8.2,菌王奇香锅 建水香豆腐,116.3188595,39.93296528
670,老东站涮肉,火锅,南关小庄25号,58,95,9.1,8.3,8.9,秘制麻酱 羊蝎子小锅,116.6601087,39.89738075
671,黄门老灶火锅(永辉店),火锅,百子湾路永辉超市底商,1413,129,9,8.7,8.7,黄门嫩牛肉 屠场鲜鸭血,116.4917683,39.90009065
672,芦月轩羊蝎子(太平桥店),火锅,太平桥路15号楼,2103,89,9.2,8.5,8.6,羊蝎子中锅 炸窝头片,116.3140174,39.87582641
673,小猫串烧,火锅,红居街远见名苑5号楼裙楼1层,106,80,8.6,8.3,8.5,特色串串 特色鸳鸯锅底,116.3334772,39.88560763
674,阿么特都嗨涮,火锅,果园地铁新华联家园北区的东门南侧50米。杨庄南里3-2号。,281,86,9.1,9,9.1,清补凉羊肉 烤羊肉串,116.6442116,39.89534664
675,南京龙宫龙虾·美蛙鱼头火锅(簋街店),火锅,东直门内大街288-5号,544,166,8.9,8.8,8.2,冰镇龙虾 特色美蛙,116.4110086,39.93929917
676,蜀签传成都串串(天键广场店),火锅,枣园路天键广场b座109,745,79,8.4,8.8,8.5,冷锅串串 琅琊土豆,116.308367,39.75119106
677,黄门老灶火锅(丽泽桥店),火锅,西三环南路甲27号,173,109,8.6,8.1,8.6,黄门嫩牛肉 黄门鲜鸭血,116.3035882,39.87049212
678,额尔敦传统涮(合生广场店),火锅,南三环中路合生广场5层,246,101,8.6,8.9,8.2,羊肉大葱烧麦 烤羊肉串,116.3915318,39.85461583
679,味蜀吾·沸腾三国火锅(通州店),火锅,通胡大街25号院10号楼二层5-1号,220,104,9,9.1,9,牛气冲天坨坨牛肉 焦糖豆花,116.6796116,39.91231461
680,汗普士涮肉馆(劲松店),火锅,方丹苑路西口与东二环交叉口东南角,914,83,9,8.8,9,羊肉礼盒 手切羊上脑,116.4418299,39.87814532
681,京门活鱼馆(百子湾店),火锅,广渠路百子湾沿海赛洛城312楼11号底商,395,104,8.7,7.6,8.1,洪湖斑鱼 斑鱼火锅,116.4984607,39.8942337
682,丽江龙记斑鱼庄(西直门店),火锅,西直门内大街168号,4024,108,8.4,7.7,7.8,斑鱼 秘制萝卜片,116.3573272,39.93900455
683,蝎王府羊蝎子(西三旗店),火锅,建材城西街中腾建华商务大厦一层,534,75,9,8.7,8.7,精品羊蝎子特大锅 特色面片,116.3295567,40.05760763
684,火炉火年糕火锅(五道口店),韩国料理,五道口国际食尚苑1楼,6925,63,7.8,7.3,7.7,火炉火传统年糕火锅 芝士炒饭,116.3323532,39.99204416
685,豆捞坊(火锅餐厅),火锅,西翠路与玉渊潭南路交叉口的东南角,1371,104,8.1,8.5,7.8,秘制麻酱小料 美味鲜虾滑,116.2773923,39.91164266
686,捞捞福火锅,火锅,北辰东路慧忠北里218号楼,585,314,8.8,8.9,8.4,特制小火烧 虾丸,116.394769,40.0041091
687,城都成串串香,火锅,温泉镇画眉山东路创客小镇底商112号,47,77,8.8,8.8,8.9,红油锅底 串串,116.1940868,40.04957516
688,山城辣妹子重庆火锅(世界之花购物中心店),火锅,旧宫镇久敬庄路临1号世界之花购物中心四层4F-B-31,313,99,8.9,9.1,9.1,鲜毛肚 鸳鸯锅,116.4161434,39.81822128
689,首尔798韩国料理地区(新荟城购物中心店),韩国料理,望京东园一区120号新荟城购物中心4层,2006,89,8.1,8.4,8.3,雪花炸鸡 年糕火锅,116.4761684,39.99744449
690,串串龙江二娃串串香(大望路店),火锅,南磨房路16号禧福汇北门底商,524,82,9,9.1,9.1,拔罐牛肉 麻辣牛肉,116.4693144,39.88183741
691,成都牛王庙串串香,火锅,工人体育场北路三里屯SOHO1号商场1层外侧123号,387,88,8.6,8,8.4,牛肉串 冰粉,116.4479214,39.93153047
692,潮鲜牛潮汕牛肉火锅(明珠百货立汤路店),火锅,立汤路188号明珠百货底商1层,839,88,8.5,8.2,8.6,手打牛肉丸 吊龙,116.4087629,40.05545359
693,滇釜火锅·原香草香草(清河店),火锅,黑泉路兴美大厦底商1号,478,110,8.8,8.8,8.8,菌王奇香锅 云南野生菌,116.366008,40.03312937
694,前门故事餐厅,北京菜,煤市街大栅栏39号西门,599,78,7.5,7.8,7.4,贝勒爷烤肉 八宝饭,116.388439,39.89454861
695,宽板凳老灶火锅(保福寺店),火锅,中关村南三街76号,386,116,8.8,8.8,8.7,巴蜀嫩牛肉 小酥肉,116.3215627,39.98097389
696,蝎王府羊蝎子(兴华大街店),火锅,兴华大街车站北里甲21号,3831,85,9.1,8.2,7.9,羊蝎子酱香味 加蝎子,116.3268774,39.7239287
697,陈记老北京铜锅涮肉(慈云寺店),火锅,延静里中街乙5号楼如家酒店楼下,440,107,9,8.5,8.8,手切鲜羊肉 精选肥羊,116.478534,39.91685232
698,潮味26潮汕牛肉丸火锅(朝阳路店),火锅,朝阳路周家井公交站东80米路南,560,73,8.7,7.6,8.3,招牌手锤牛肉丸 吊龙,116.5729769,39.9121294
699,六婆串串香火锅(圣熙八号店),火锅,学清路甲8号商业广场2号楼一层6号-2,1345,86,8.5,8.5,8.4,特色嫩牛肉 香菜牛肉,116.4824109,39.96965147
700,书香门第-书店里的餐厅(光华路店),火锅,光华路8号光华大厦B座内,370,110,7.7,8.1,7.6,书香门第虾蟹拼盘 波士顿龙虾,116.4639879,39.91216366
701,甲丁-熙和打边炉(西坝河店),火锅,光熙门北里34号,170,132,8.6,8.9,8.9,销魂牛尾锅 打边炉,116.4281994,39.96768687
702,老胡同铜锅涮肉(酷车小镇店),火锅,金蝉西路甲1号B2-7,343,82,8.8,8.9,8.7,大盘羊肉 老北京铜锅,116.4949312,39.87020195
703,东来顺饭庄(地安门店),火锅,地安门外大街56号,610,111,8.2,8.2,7.7,手切羊肉 相间肥牛,116.3899614,39.93727489
704,北平涮肉,火锅,东兴隆街56号,383,93,8.5,7.8,7.5,手切鲜羊腿 金牌羊上脑,116.4084753,39.89545308
705,香草香草云南原生态火锅(黄寺店),火锅,黄寺大街15号佰隆大厦4楼409,138,132,8.7,8.5,8.8,经典香草嫩牛 野山菌四拼,116.3827445,39.96193013
706,大龙燚火锅(三里屯店),火锅,工人体育场东路美林大厦6号楼二层,522,133,8.3,8,7.8,牛油锅 嘎嘣脆毛肚,116.4444409,39.93007662
707,潮汕古巷牛肉火锅(西红门店),火锅,宏业路9号院嘉悦广场8号楼一层,654,101,8.6,8.7,8.8,手打牛肉丸 炸豆皮,116.3175057,39.78476021
708,黄记煌三汁焖锅(永旺梦乐城店),火锅,丰葆路88号院1号楼永旺梦乐城4层,1826,97,8.9,9,8.7,江团鱼 焖鮰鱼,116.2860117,39.81722164
709,新辣道鱼火锅(蓝色港湾店),火锅,朝阳公园路6号蓝色港湾M层,2133,128,8.5,8.3,8.3,梭边鱼 蔬菜自助,116.4688307,39.94747225
710,三江芦苇荡贵州酸汤鱼(回龙观店),贵州菜,回龙观科星西路和谐家园一区西门,1051,101,8.7,7.8,8.2,原味酸汤鱼 小米柞,116.3554345,40.08420879
711,宽板凳老灶火锅(五棵松蓝色港湾店),火锅,复兴路69号蓝色港湾购物中心东区B1层,215,121,8.4,8.1,8.1,特色鲜毛肚 巴蜀嫩牛肉,116.4676494,39.94809697
712,饭局-炙子烤肉 铜锅涮肉,火锅,朝阳路8里庄东里31号楼西侧,90,75,8.2,8.2,8.8,炙子烤肉 自卷羊腿肉,116.4916127,39.91407582
713,宽板凳老灶火锅(西单店),火锅,西安门大街181号,1357,127,8.9,8.1,8.3,巴蜀嫩牛肉 鸳鸯锅,116.3683921,39.92127335
714,尚捞港式回转小火锅,火锅,朝阳北路住欣家园西区临街商铺,41,58,7.6,7.6,7.9,番茄牛丸锅 吃好套餐,116.6035223,39.92270882
715,重庆地瓜老火锅(西四环北路总店),火锅,西四环北路136号金泰海博大酒店2楼,1759,97,8.8,8.9,8.5,地瓜鲜鸭血 地瓜老肉片,116.2691523,39.93671918
716,亮健容天土锅羊蝎子(林肯公园店),火锅,亦庄经济技术开发区文化园西路麦当劳西侧100米林肯公园北门203,668,85,9,8.4,8.8,精品羊排 精品羊蝎子,116.4877869,39.80333586
717,朱题·猪手火锅(安苑北里店),火锅,安定路安苑北里小区16号楼一层,2830,85,8.3,7.6,8.1,猪手火锅 木瓜猪蹄火锅,116.4020892,39.98385505
718,重庆肴焱火锅(大兴黄村店),火锅,黄村西大街地铁站D出口南行20米,1487,104,9,9.2,9.1,手切鲜羊肉 山城酥肉,116.4218547,39.84396521
719,草原牛上牛火锅店,火锅,莲花池南里21号北侧一层,325,110,9.1,9,8.8,招牌草原牛肉 自制内蒙熟酸奶,116.3106841,39.8867881
720,京都蝎府羊蝎子火锅(紫竹桥店),火锅,紫竹院路82号,2220,86,8.7,8.2,7.8,羊排蝎子锅 面片,116.2943409,39.94407624
721,宽店(昌平镇店),火锅,南环路10号院1号楼悦荟万科广场4层,1085,79,8.1,8.4,8,变态辣鸡翅 羊肉串,116.2330874,40.21084826
722,316号大众烧烤·羊蝎子火锅,烧烤,槐房西路316号院2号楼商铺东一区3-4号,145,79,8.6,8,8.5,蜜汁鸡翅 羊肉串,116.3605085,39.80648761
723,陈阿婆羊蝎子(西点茂店),火锅,永定路88号楼3层88-11室09号,445,96,8.7,9.1,9,爽口嫩肉 手捶牛肉丸锅底,116.259248,39.90438
724,山城辣妹子重庆火锅(长楹天街购物中心店),火锅,朝阳北路常营地铁站F出口右侧龙湖长楹天街购物中心东区4楼,4542,105,8.6,8.7,8.1,麻团 精品肥牛,116.5898236,39.92404026
725,北门涮肉(洋桥店),火锅,南三环中路辅路,5162,92,9.1,8.5,8.7,手打鲜虾滑 手切鲜羊肉,116.3973026,39.85549788
726,重来火锅(原记忆老灶火锅),火锅,望京街9号望京新城B区望京国际商业中心E座1层,1558,89,8.3,8.6,8.9,记忆九宫格全红锅 鲜鸭血,116.4782091,39.98865689
